Net Status Report
Filename     : C:\Documents and Settings\maker_1\Desktop\MCD\02 Schematic & Layout\MCD V1.00 R.00.PcbDoc
Date         : 08.9.2010 ã.
Time         : 23:47:06
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR309_2, Signal Layers Only, 39.4804mm
    NetR310_1, Signal Layers Only, 2.818mm
    NetR310_2, Signal Layers Only, 37.1906mm
    NetR311_1, Signal Layers Only, 2.818mm
    NetR311_2, Signal Layers Only, 40.7108mm
    NetR312_1, Signal Layers Only, 2.866mm
    NetR312_2, Signal Layers Only, 26.7693mm
    NetR313_1, Signal Layers Only, 3.072mm
    NetR313_2, Signal Layers Only, 30.7055mm
    NetR314_2, Signal Layers Only, 6.1896mm
    NetR400_1, Signal Layers Only, 159.6502mm
    NetR401_1, Signal Layers Only, 165.9234mm
    NetR412_1, Signal Layers Only, 24.86mm
    NetR414_1, Signal Layers Only, 79.0612mm
    NetR416_1, Signal Layers Only, 23.0802mm
    NetR416_2, Signal Layers Only, 15.2577mm
    NetR423_1, Signal Layers Only, 6.4892mm
    NetR423_2, Signal Layers Only, 15.0388mm
    NetR430_1, Signal Layers Only, 18.8185mm
    NetR430_2, Signal Layers Only, 14.9563mm
    NetR436_2, Signal Layers Only, 23.114mm
    NetR610_1, Signal Layers Only, 64.2066mm
    NetR619_1, Signal Layers Only, 63.7421mm
    NetR700_2, Signal Layers Only, 6.906mm
    NetR701_2, Signal Layers Only, 7.033mm
    NetR702_2, Signal Layers Only, 6.652mm
    NetR703_2, Signal Layers Only, 6.652mm
    NetR704_2, Signal Layers Only, 6.652mm
    NetR705_2, Signal Layers Only, 6.779mm
    NetR706_2, Signal Layers Only, 7.033mm
    NetR707_2, Signal Layers Only, 7.16mm
    NetU100_1, Signal Layers Only, 51.7257mm
    NetU100_5, Signal Layers Only, 50.3351mm
    NetU300_3, Signal Layers Only, 39.52mm
    NetU300_4, Signal Layers Only, 134.4787mm
    NetU300_8, Signal Layers Only, 11.2213mm
    NetU301_1, Signal Layers Only, 96.9735mm
    NetU301_60, Signal Layers Only, 104.9754mm
    NetU301_61, Signal Layers Only, 102.0359mm
    NetU301_62, Signal Layers Only, 97.5183mm
    NetU301_63, Signal Layers Only, 97.6524mm
    NetU301_64, Signal Layers Only, 88.432mm
    NetU404_3, Signal Layers Only, 36.9955mm
    NetU406_13, Signal Layers Only, 30.7852mm
    NetU406_15, Signal Layers Only, 22.67mm
count : 165
